appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,Counter-Strike,Valve,Valve,,176403,4531,0,"10,000,000 .. 20,000,000",12026,878,299,428,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,15327,"{'Action': 5348, 'FPS': 4763, 'Multiplayer': 3325, 'Shooter': 3304, 'Classic': 2735, 'Team-Based': 1827, 'First-Person': 1672, 'Competitive': 1571, 'Tactical': 1310, ""1990's"": 1169, 'e-sports': 1160, 'PvP': 850, 'Old School': 731, 'Military': 615, 'Strategy': 603, 'Survival': 291, 'Score Attack': 281, '1980s': 251, 'Assassin': 221, 'Violent': 62}"
20,Team Fortress Classic,Valve,Valve,,4904,829,0,"2,000,000 .. 5,000,000",474,0,17,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,92,"{'Action': 741, 'FPS': 302, 'Multiplayer': 254, 'Classic': 227, 'Hero Shooter': 208, 'Shooter': 202, 'Team-Based': 184, 'Class-Based': 177, 'First-Person': 164, ""1990's"": 127, 'Old School': 103, 'Co-op': 88, 'Competitive': 66, 'Fast-Paced': 58, 'Retro': 52, 'Online Co-Op': 50, 'Violent': 41, 'Mod': 34, 'Remake': 34, 'Funny': 33}"
30,Day of Defeat,Valve,Valve,,4682,521,0,"5,000,000 .. 10,000,000",294,36,37,36,499,499,0,"English, French, German, Italian, Spanish - Spain",Action,177,"{'FPS': 780, 'World War II': 245, 'Multiplayer': 199, 'Shooter': 184, 'Action': 156, 'War': 146, 'Team-Based': 129, 'Classic': 121, 'First-Person': 101, 'Class-Based': 75, 'Military': 62, 'Historical': 54, 'Tactical': 40, 'Co-op': 33, 'Singleplayer': 31, 'Difficult': 15, 'Retro': 14, 'Strategy': 14, 'Old School': 13, 'World War I': 13}"
40,Deathmatch Classic,Valve,Valve,,1719,376,0,"5,000,000 .. 10,000,000",42,0,9,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,5,"{'Action': 627, 'FPS': 137, 'Classic': 105, 'Multiplayer': 95, 'Shooter': 93, 'First-Person': 69, 'Arena Shooter': 44, 'Old School': 33, 'Sci-fi': 33, 'Competitive': 23, 'Fast-Paced': 15, 'Co-op': 14, 'Retro': 14, 'Gore': 12, 'Difficult': 11, ""1990's"": 9}"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,11089,569,0,"5,000,000 .. 10,000,000",235,56,93,56,499,499,0,"English, French, German, Korean",Action,119,"{'FPS': 874, 'Action': 316, 'Sci-fi': 242, 'Classic': 242, 'Singleplayer': 220, 'Shooter': 216, 'First-Person': 183, 'Aliens': 168, ""1990's"": 131, 'Adventure': 110, 'Atmospheric': 103, 'Military': 87, 'Story Rich': 71, 'Silent Protagonist': 61, 'Great Soundtrack': 47, 'Gore': 36, 'Puzzle': 32, 'Co-op': 30, 'Moddable': 26, 'Retro': 15}"
60,Ricochet,Valve,Valve,,3461,804,0,"5,000,000 .. 10,000,000",24,6,5,6,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,9,"{'Action': 582, 'FPS': 124, 'Multiplayer': 98, 'Classic': 87, 'First-Person': 75, 'Sci-fi': 51, 'Shooter': 48, 'Space': 40, 'Cyberpunk': 38, 'Memes': 29, 'Platformer': 26, 'Psychological Horror': 25, 'Conspiracy': 25, '3D': 24, 'Old School': 22, 'Retro': 21, 'Cult Classic': 17, 'Competitive': 14, 'Sports': 11, 'Nudity': 6}"
70,Half-Life,Valve,Valve,,59160,2111,0,"5,000,000 .. 10,000,000",400,59,158,31,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,757,"{'FPS': 2191, 'Action': 1728, 'Sci-fi': 1727, 'Singleplayer': 1720, 'Multiplayer': 1720, 'Shooter': 1717, ""1990's"": 1711, 'First-Person': 1711, 'Aliens': 1706, 'Story Rich': 1706, 'Silent Protagonist': 1701, 'Adventure': 1699, 'Atmospheric': 1698, 'Moddable': 1693, 'Action-Adventure': 1691, 'Retro': 1688, 'PvP': 1686, 'Difficult': 1685, 'Gore': 1685, 'Classic': 1684}"
80,Counter-Strike: Condition Zero,Valve,Valve,,17261,1715,0,"5,000,000 .. 10,000,000",2853,1,29,1,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,653,"{'Action': 1352, 'FPS': 1003, 'Shooter': 741, 'Multiplayer': 596, 'First-Person': 454, 'Classic': 388, 'Singleplayer': 384, 'Tactical': 364, 'Team-Based': 313, 'Competitive': 300, 'Strategy': 177, 'Online Co-Op': 172, 'Military': 166, 'Adventure': 87, 'Survival': 73, 'Atmospheric': 60, 'Open World': 46, 'Dark': 41, 'Simulation': 40, 'Old School': 38}"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,7977,783,0,"5,000,000 .. 10,000,000",202,2,156,2,499,499,0,"English, French, German",Action,68,"{'FPS': 450, 'Action': 277, 'Sci-fi': 209, 'Singleplayer': 188, 'Shooter': 169, 'Aliens': 147, 'First-Person': 136, 'Classic': 135, 'Zombies': 88, 'Adventure': 87, ""1990's"": 79, 'Short': 72, 'Atmospheric': 68, 'Silent Protagonist': 48, 'Story Rich': 42, 'Puzzle': 22, 'Moddable': 20, 'Great Soundtrack': 19, 'Retro': 16, 'Gore': 8}"
220,Half-Life 2,Valve,Valve,,119427,3270,0,"10,000,000 .. 20,000,000",699,4,342,4,999,999,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,1041,"{'FPS': 3806, 'Action': 2700, 'Sci-fi': 2352, 'Classic': 2145, 'Singleplayer': 2065, 'Story Rich': 1762, 'Shooter': 1595, 'First-Person': 1486, 'Adventure': 1272, 'Dystopian ': 1112, 'Atmospheric': 1028, 'Zombies': 937, 'Silent Protagonist': 907, 'Physics': 879, 'Aliens': 859, 'Great Soundtrack': 840, 'Horror': 656, 'Puzzle': 651, 'Multiplayer': 630, 'Moddable': 441}"
